Comment,Designator,Footprint,LCSC Part #
CL05B104KO5NNNC,C2,C5,C7,C_0402_1005Metric,C1525
CL05A105KA5NQNC,C3,C_0402_1005Metric,C52923
CL10A106KP8NNNC,C1,C4,C_0603_1608Metric,C19702
CL10A106KO8NQNC,C6,C_0603_1608Metric,C962136
KT-0603R,D1,LED_0603_1608Metric,C2286
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
0402WGF1002TCE,R1,R4,R_0402_1005Metric,C25744
0402WGF5101TCE,R2,R3,R_0402_1005Metric,C25905
0402WGF1001TCE,R5,R_0402_1005Metric,C11702
ESP32-C3-MINI-1-N4,U1,ESP32-C6-MINI-1,C2838502
AP2112K-3.3TRG1,U2,SOT-23-5,C51118
USBLC6-2SC6,U3,SOT-23-6,C2687116
B3U-1000P,U4,U5,SW_SPST_B3U-1000P,C231329
