Designator,Mid X,Mid Y,Rotation,Layer
C1,19.800000,-6.700000,90.000000,Top
C2,12.800000,-26.300000,90.000000,Top
C3,23.165000,-18.026000,0.000000,Top
C4,26.900000,-14.900000,90.000000,Top
C5,16.000000,-19.100000,0.000000,Top
C6,22.700000,-16.000000,0.000000,Top
C7,19.800000,-19.600000,0.000000,Top
D1,25.300000,-7.900000,180.000000,Top
J1,20.000000,-25.850000,0.000000,Top
R1,22.100000,-6.300000,-90.000000,Top
R2,20.500000,-18.400000,0.000000,Top
R3,26.000000,-19.200000,0.000000,Top
R4,6.900000,-17.800000,90.000000,Top
R5,20.800000,-8.900000,0.000000,Top
U1,12.250000,-7.850000,90.000000,Top
U2,10.200000,-22.300000,0.000000,Top
U3,21.900000,-12.500000,-90.000000,Top
U4,16.915000,-16.510000,0.000000,Top
U5,11.200000,-17.600000,180.000000,Top
